factor_no,good_cd,good_year,good_mnth,fri_val_loc,fri_val_for,fri_val_tot,in_val_loc,in_val_for,in_val_tot,out_val_ras,out_val_loc,out_val_for,out_val_tot,in_val_loc_rem,in_val_for_rem,fri_val_rem,fin_val_loc,fin_val_for,fin_val_tot,fin_val_old,comp_val_up,comp_val_low,comp_val_rat,good_nm,good_flg,final_date,comp_not1,comp_not2
65,4,2025,11,1438.52,1665.11,3103.64,4429.01,308.47,4737.47,636.79,1381.48,0,2018.27,3047.53,308.47,2466.85,4272.69,1550.15,5822.84,3250.35,2572.49,0,79.14,مواد و مهمات,1,24/11/2025 00:00:00,ترجع الى زيادةرصيداول المدةعن السابق مع ارتفاع,الاسعارعن السابق ووجودخامات لم تكن موجودةسابقا
65,5,2025,11,5290.61,0,5290.61,22087.50,0,22087.50,333.47,1419.84,0,1753.30,20667.66,0,4957.14,25624.81,0,25624.81,10139.12,15485.69,0,152.73,تعبئة وتغليف,1,24/11/2025 00:00:00,ترجع الزيادةالى ارتفاع الاسعارعن السابق مع ورود,كميات من اكياس البروبلين50ك اكثرمن السابق
65,6,2025,11,2898.52,0,2898.52,205.36,0,205.36,21.51,180.76,0,202.27,24.60,0,2877.00,2901.61,0,2901.61,2780.71,120.90,0,4.35,مخلفات,1,24/11/2025 00:00:00,ترجع الى زيادةرصيداول المدةعن السابق مع وجودخامات,لم تكن موجودةسابقامثل سلك شبك وتنكات بلاستيك 1طن
65,7,2025,11,2228.69,0,2228.69,15319.15,0,15319.15,1250.05,1682.84,0,2932.89,13636.32,0,978.64,14614.96,0,14614.96,9190.91,5424.05,0,59.02,زيوت وشحومات,1,24/11/2025 00:00:00,ترجع الزيادة زيادة رصيد اول المدة عن السابق مع,زيادة اسعار الزيوت عن السابق
65,99,2025,11,2184.03,1194.68,3378.71,2174.85,0,2174.85,229.41,1740.44,0,1969.85,434.41,0,3149.30,2389.03,1194.68,3583.70,1567.09,2016.61,0,128.69,اخرى,1,24/11/2025 00:00:00,0,0
66,0,2025,11,6098.77,0,6098.77,0,0,0,1333.99,0,0,1333.99,0,0,4764.79,4764.79,0,4764.79,4942.00,0,177.21,3.59,خامات رئيسية,1,24/11/2025 00:00:00,,
66,1,2025,11,1288.49,0,1288.49,8827.42,0,8827.42,1288.49,8827.42,0,10115.91,0,0,0,0,0,0,0,0,0,0,خامات مساعدة,1,24/11/2025 00:00:00,,
66,3,2025,11,3049.54,2143.52,5193.06,1729.86,507.26,2237.12,964.59,948.28,0,1912.87,781.58,507.26,4228.47,3321.21,2196.09,5517.30,4526.70,990.60,0,21.88,قطع غياروصيانة,1,24/11/2025 00:00:00,ترجع الزيادة الى زيادة الاسعارعن السابق مع ورود,خامات من ق.غ والصيانة اكثرمن السابق
66,4,2025,11,1.25,0,1.25,116.21,0,116.21,0.14,28.50,0,28.64,87.71,0,1.11,88.82,0,88.82,0.49,88.33,0,999.99,مواد و مهمات,1,24/11/2025 00:00:00,ترجع الزيادة الى زيادة رصيد اول المدة عن العام,السابق بالاضافة الى ارتفاع الاسعارعن العام السابق
66,6,2025,11,1090.48,0,1090.48,989.46,0,989.46,125.45,904.43,0,1029.88,85.02,0,965.03,1050.06,0,1050.06,652.96,397.10,0,60.81,مخلفات,1,24/11/2025 00:00:00,ترجع الى زيادةرصيداول المدةعن السابق مع وجودخامات,من الخشب الحبيبى الكسروسلك نحاس خردةاكثرمن السابق
66,7,2025,11,447.38,0,447.38,1704.58,0,1704.58,162.55,91.02,0,253.57,1613.56,0,284.83,1898.39,0,1898.39,1040.50,857.89,0,82.45,زيوت وشحومات,1,24/11/2025 00:00:00,ترجع الى زيادة رصيداول المدة عن السابق مع ورود,كميات من الزيوت اكثرمن السابق مع ارتفاع الاسعار
66,9,2025,11,132.88,0,132.88,0,0,0,0,0,0,0,0,0,132.88,132.88,0,132.88,132.88,0,0,0,الراكد,1,24/11/2025 00:00:00,,
66,99,2025,11,0,0,0,1273.17,0,1273.17,0,928.61,0,928.61,344.56,0,0,344.56,0,344.56,968.09,0,623.53,64.41,اخرى,1,24/11/2025 00:00:00,,
75,1,2025,11,1359.43,1102.23,2461.65,5868.72,0,5868.72,0,0,0,0,5868.72,0,2461.65,7228.15,1102.23,8330.37,6644.60,1685.77,0,25.37,خامات مساعدة,1,29/11/2025 00:00:00,وارد حامض ارثوفسفوريك امر توريد 5386,
75,2,2025,11,13530.96,0,13530.96,4435.13,0,4435.13,1167.04,14.40,0,1181.44,4420.73,0,12363.92,16784.65,0,16784.65,11119.99,5664.66,0,50.94,وقود,1,29/11/2025 00:00:00,وارد مازوت,
75,3,2025,11,9814.84,2977.75,12792.59,7766.47,1095.77,8862.24,2609.64,5674.93,476.51,8761.07,2091.54,619.26,10182.96,9687.24,3206.51,12893.76,11626.02,1267.74,0,10.90,قطع غياروصيانة,1,29/11/2025 00:00:00, طلبيه 1782 كرابيل وطلبيه1771 معدات كرش,وارد المعدات مبلغ 3213280 ج كشف مرفق
75,4,2025,11,522.47,0,522.47,1819.18,0,1819.18,243.24,950.88,0,1194.13,868.30,0,279.22,1147.52,0,1147.52,896.13,251.39,0,28.05,مواد و مهمات,1,29/11/2025 00:00:00,صودا كاويه سائله امر توريد 5175,
75,5,2025,11,1210.62,0,1210.62,11454.20,0,11454.20,67.01,0,0,67.01,11454.20,0,1143.62,12597.81,0,12597.81,1635.38,10962.43,0,670.33,تعبئة وتغليف,1,29/11/2025 00:00:00,جوالات بروبلين سعه 50 كيلو,
75,6,2025,11,904.71,0,904.71,7.06,0,7.06,0,7.06,0,7.06,0,0,904.71,904.71,0,904.71,904.71,0,0,0,مخلفات,1,29/11/2025 00:00:00,------------------------,
75,7,2025,11,1592.63,0,1592.63,3955.54,0,3955.54,411.60,50.98,0,462.58,3904.56,0,1181.03,5085.60,0,5085.60,3158.79,1926.81,0,61.00,زيوت وشحومات,1,29/11/2025 00:00:00,زيوت وشحومات امر توريد رقم 5413و5413,
75,9,2025,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,الراكد,1,29/11/2025 00:00:00,----------------------,
75,99,2025,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,اخرى,1,29/11/2025 00:00:00,,
